Nk,rep,seed,N_vertices,nn_mean,nn_std,CV,hull_vol,time_s
2000,1,112346,218,0.409327125693895,0.404483621234187,0.988167154933852,261.019595364682,0.00470333333333333
2000,2,112347,224,0.377656027198788,0.322941685619807,0.855121227682193,256.434585476123,0.00394325
2000,3,112348,228,0.382841408637138,0.337238868804628,0.880883993205312,263.861635739241,0.004014875
2000,4,112349,230,0.413984098972514,0.324584948955591,0.784051729912315,260.189059634854,0.00409133333333333
2000,5,112350,230,0.370577447172182,0.350715775203012,0.946403451908012,267.685878898726,0.00443479166666667
2000,6,112351,236,0.427140114100397,0.370577067048497,0.867577300317418,255.834247091914,0.00416595833333333
2000,7,112352,234,0.401797778564377,0.366015144905168,0.910943674733444,260.860351425153,0.00397608333333333
2000,8,112353,216,0.415019216866957,0.36732918767801,0.885089588022053,263.935527666088,0.00378479166666667
2000,9,112354,232,0.367002383386035,0.351903548079699,0.958859026562629,261.480343609432,0.00440120833333333
2000,10,112355,200,0.401769976507718,0.344141535682722,0.856563595602846,250.811308626846,0.00374008333333333
2000,11,112356,224,0.44666443900507,0.374590510787127,0.838639654460774,265.411594893745,0.00388008333333333
2000,12,112357,222,0.396623066166363,0.352243946374435,0.888107567164758,261.394971737082,0.00392545833333333
2000,13,112358,236,0.352395096826149,0.351412767954398,0.997212421850934,254.36223814598,0.00389366666666667
2000,14,112359,226,0.432326822418947,0.354532287182864,0.820056190821545,263.683880831109,0.00426079166666667
2000,15,112360,190,0.494582580431464,0.404096892000394,0.817046349768057,263.644163203006,0.00365825
2000,16,112361,206,0.451843157324556,0.359834088047638,0.796369453016131,259.041304932083,0.004279375
2000,17,112362,206,0.443136535100299,0.376575872852679,0.849796491655659,260.933106250214,0.00388425
2000,18,112363,210,0.437072105627713,0.424585800514118,0.971431933191749,258.159814726252,0.00382558333333333
2000,19,112364,216,0.362989649419018,0.314865405947456,0.867422546211476,257.235149391839,0.003765125
2000,20,112365,230,0.402147987133553,0.346768777140467,0.862291465418439,260.6649892125,0.00377479166666667
2000,21,112366,220,0.420481681039623,0.371316213109409,0.883073460397479,259.034889448217,0.00354808333333333
2000,22,112367,182,0.419821356413607,0.363472844945173,0.865779787979821,254.968847651726,0.00372866666666667
2000,23,112368,218,0.395433228777044,0.378220258436225,0.956470602144254,259.307804888247,0.00348625
2000,24,112369,238,0.43695930313676,0.381985328158789,0.874189713816976,267.248120484183,0.00395479166666667
2000,25,112370,200,0.403663345589707,0.354105860521255,0.877230653687287,248.347398864986,0.00344275
2000,26,112371,204,0.442039502095747,0.373025045182343,0.843872648063802,258.805456835047,0.00339429166666667
2000,27,112372,208,0.449038204450009,0.393524017207447,0.876370904095883,262.2409301035,0.00350620833333333
2000,28,112373,206,0.388216919335657,0.379533972623219,0.977633775654865,259.000112496943,0.00342129166666667
2000,29,112374,222,0.40419039310254,0.349747316758392,0.865303388518847,262.366445229031,0.003506875
2000,30,112375,212,0.397734202688956,0.348470342559756,0.876138738393272,257.835527509353,0.00409058333333333
2000,31,112376,234,0.431683325860327,0.342501827381532,0.793409906900944,265.068784832889,0.00387770833333333
2000,32,112377,234,0.385824352899718,0.346595558528172,0.898324732286295,259.445467657843,0.00363975
2000,33,112378,214,0.411141920281535,0.355549690278901,0.864785789868941,260.11445547003,0.004340875
2000,34,112379,206,0.410562603943646,0.364783285250671,0.888496131276345,256.58476517544,0.00399570833333333
2000,35,112380,204,0.422164518960971,0.389473818389304,0.922564073712008,267.457477295775,0.0039905
