Nk,N_target,rep,seed,poolN,forcedN,N_vertices,nn_mean,nn_std,CV
2000,219,1,120001,2146,76,219,0.916322324373199,0.366072711378005,0.399502120204714
2000,219,2,120002,2222,76,219,0.881584627554475,0.405667863132345,0.460157596279408
2000,219,3,120003,2244,76,219,0.885494196948861,0.384872070171443,0.434640985223385
2000,219,4,120004,2122,76,219,0.880989889802191,0.397504096845017,0.451201655599327
2000,219,5,120005,2138,76,219,0.883073588026368,0.403138500171816,0.456517447286374
2000,219,6,120006,2174,76,219,0.870083973380859,0.433039806612523,0.49769886569669
2000,219,7,120007,2170,76,219,0.895416800603175,0.380636860685914,0.425094615635431
2000,219,8,120008,2174,76,219,0.881627076909247,0.402312679301003,0.456329767809997
2000,219,9,120009,2202,76,219,0.898951498636242,0.384326632772408,0.427527662343799
2000,219,10,120010,2230,76,219,0.892203244864207,0.415778844604272,0.466013598356228
2000,219,11,120011,2120,76,219,0.873014987574584,0.385847677070509,0.441971423815384
2000,219,12,120012,2162,76,219,0.895029931382968,0.33286047109051,0.371898703517308
2000,219,13,120013,2140,76,219,0.889730845293468,0.375307678077846,0.421821588026494
2000,219,14,120014,2106,76,219,0.868716224302124,0.414736479734756,0.477413070151799
2000,219,15,120015,2226,76,219,0.903805003303742,0.377757126887739,0.417963084411899
2000,219,16,120016,2144,76,219,0.898644499611556,0.36739549629275,0.40883296615242
2000,219,17,120017,2082,76,219,0.887747903410362,0.409529884822341,0.461313266130053
2000,219,18,120018,2112,76,219,0.892598196680919,0.396497609509286,0.444206151192824
2000,219,19,120019,2168,76,219,0.873182102208174,0.437541416398366,0.501088393007455
2000,219,20,120020,2198,76,219,0.892325740228036,0.387143699022698,0.433859163273451
2000,219,21,120021,2192,76,219,0.853687106284766,0.426439184265115,0.499526326596371
2000,219,22,120022,2210,76,219,0.89591312056545,0.380624009145118,0.424844776137321
2000,219,23,120023,2198,76,219,0.906339995493958,0.379650488497173,0.418883079622081
2000,219,24,120024,2190,76,219,0.889020772145849,0.388208642942715,0.436669935175628
2000,219,25,120025,2216,76,219,0.888875619279878,0.387116550166626,0.43551262040492
2000,219,26,120026,2232,76,219,0.883884745036453,0.361570109008551,0.409069294428924
2000,219,27,120027,2254,76,219,0.881592974115981,0.426495831859083,0.483778619364285
2000,219,28,120028,2124,76,219,0.918081814195333,0.36926424093914,0.402212782379081
2000,219,29,120029,2138,76,219,0.895594024235345,0.378997312534887,0.423179813932405
2000,219,30,120030,2180,76,219,0.868583072269573,0.425145765376512,0.489470470873468
2000,219,31,120031,2204,76,219,0.891103015931248,0.412115280478226,0.462477708088042
2000,219,32,120032,2160,76,219,0.875950347086505,0.393808970374583,0.449579101925616
2000,219,33,120033,2156,76,219,0.895320681901168,0.347108558773151,0.387691880451241
2000,219,34,120034,2108,76,219,0.872228089000923,0.391173236378605,0.448475853175821
2000,219,35,120035,2178,76,219,0.900299978475612,0.373460780039828,0.414818159467439
2000,219,36,120036,2298,76,219,0.894218408181611,0.409232112234947,0.457642236494682
2000,219,37,120037,2176,76,219,0.858266038130524,0.423225858224909,0.493117331249387
2000,219,38,120038,2174,76,219,0.899869770405682,0.368177600806354,0.409145426276928
2000,219,39,120039,2216,76,219,0.879566894258424,0.373285783870663,0.424397264502987
2000,219,40,120040,2144,76,219,0.871905621597094,0.393052597361784,0.450797182201692
2000,219,41,120041,2144,76,219,0.904062835559465,0.381942613503347,0.422473525600671
2000,219,42,120042,2214,76,219,0.879770849696811,0.389303668297795,0.4425057598032
2000,219,43,120043,2214,76,219,0.878431656260261,0.403292351398352,0.459104983892867
2000,219,44,120044,2138,76,219,0.894117114912928,0.375223894663149,0.419658553006995
2000,219,45,120045,2076,76,219,0.896395673339565,0.401963336959603,0.448421772789319
2000,219,46,120046,2230,76,219,0.904056133761292,0.38140124223322,0.421877832570433
2000,219,47,120047,2164,76,219,0.894089061936103,0.400586688745533,0.448038909991901
2000,219,48,120048,2146,76,219,0.897693050700811,0.374787203187241,0.417500394923022
2000,219,49,120049,2230,76,219,0.88959708690213,0.408570371726303,0.459275752744515
2000,219,50,120050,2184,76,219,0.892971228913084,0.395952914766772,0.443410607135374
